path,speaker_id,source_speaker_id,audio_id,raw_text,normalized_text,gender,accent,is_gold_transcript,duration_seconds,label,category,generator,dataset,freeze_tag
C:\Users\gonza\TFG\Deepfake-Detection\external_final_voxpopuli\real\vox_ext_01\vox_ext_01_001.wav,vox_ext_01,1973,20090506-0900-PLENARY-15-es_20090506-21:57:30_7,"La cuestión es evitar la confusión, por ejemplo, entre el derecho de petición y el derecho de iniciativa ciudadana.",la cuestión es evitar la confusión por ejemplo entre el derecho de petición y el derecho de iniciativa ciudadana.,male,None,0,7.0799,0,real_external_final,real,voxpopuli_es_test_legacy_archive,tfg_final_real_voxpopuli_es_legacy_v1_2026-09-15
C:\Users\gonza\TFG\Deepfake-Detection\external_final_voxpopuli\real\vox_ext_01\vox_ext_01_002.wav,vox_ext_01,1973,20090506-0900-PLENARY-15-es_20090506-21:57:30_13,"Si lo conseguimos, todos los que estamos aquí —empezando por todos los convencionados que nos reunimos en esta noche— habremos dado un paso de gigante por el que habrá merecido la pena estar en este Parlamento.",si lo conseguimos todos los que estamos aquí empezando por todos los convencionados que nos reunimos en esta noche habremos dado un paso de gigante por el que habrá merecido la pena estar en este parlamento.,male,None,0,11.1200,0,real_external_final,real,voxpopuli_es_test_legacy_archive,tfg_final_real_voxpopuli_es_legacy_v1_2026-09-15
C:\Users\gonza\TFG\Deepfake-Detection\external_final_voxpopuli\real\vox_ext_01\vox_ext_01_003.wav,vox_ext_01,1973,20090506-0900-PLENARY-15-es_20090506-21:57:30_11,"Sin duda, todas las comisiones lo querrían, pero yo reclamo que ese derecho se haga efectivo de la mejor manera posible.",sin duda todas las comisiones lo querrían pero yo reclamo que ese derecho se haga efectivo de la mejor manera posible.,male,None,0,7.7599,0,real_external_final,real,voxpopuli_es_test_legacy_archive,tfg_final_real_voxpopuli_es_legacy_v1_2026-09-15
C:\Users\gonza\TFG\Deepfake-Detection\external_final_voxpopuli\real\vox_ext_01\vox_ext_01_004.wav,vox_ext_01,1973,20090506-0900-PLENARY-15-es_20090506-21:57:30_1,"He tratado de trabajar dignamente en nombre de los ciudadanos de mi país y del conjunto de los europeos y ha habido momentos verdaderamente especiales en ese esfuerzo, como, por ejemplo, fue la Convención.",he tratado de trabajar dignamente en nombre de los ciudadanos de mi país y del conjunto de los europeos y ha habido momentos verdaderamente especiales en ese esfuerzo como por ejemplo fue la convención.,male,None,0,11.8800,0,real_external_final,real,voxpopuli_es_test_legacy_archive,tfg_final_real_voxpopuli_es_legacy_v1_2026-09-15
C:\Users\gonza\TFG\Deepfake-Detection\external_final_voxpopuli\real\vox_ext_01\vox_ext_01_005.wav,vox_ext_01,1973,20090506-0900-PLENARY-15-es_20090506-21:57:30_9,"Se trata de evitar esa contradicción y de conseguir una sinergia que refuerce ambas vías, que son vías que hacen más ciudadana a la Unión.",se trata de evitar esa contradicción y de conseguir una sinergia que refuerce ambas vías que son vías que hacen más ciudadana a la unión.,male,None,0,10.5999,0,real_external_final,real,voxpopuli_es_test_legacy_archive,tfg_final_real_voxpopuli_es_legacy_v1_2026-09-15
C:\Users\gonza\TFG\Deepfake-Detection\external_final_voxpopuli\real\vox_ext_01\vox_ext_01_006.wav,vox_ext_01,1973,20090506-0900-PLENARY-15-es_20090506-21:57:30_10,"Sin duda, la Comisión de Peticiones querría estar presente en la gestión de ese derecho de iniciativa ciudadana.",sin duda la comisión de peticiones querría estar presente en la gestión de ese derecho de iniciativa ciudadana.,male,None,0,5.2199,0,real_external_final,real,voxpopuli_es_test_legacy_archive,tfg_final_real_voxpopuli_es_legacy_v1_2026-09-15
C:\Users\gonza\TFG\Deepfake-Detection\external_final_voxpopuli\real\vox_ext_01\vox_ext_01_007.wav,vox_ext_01,1973,20090506-0900-PLENARY-15-es_20090506-21:57:30_2,"De hecho, estamos hablando hoy de ciudadanía y tomo la palabra en nombre de la Comisión de Peticiones.",de hecho estamos hablando hoy de ciudadanía y tomo la palabra en nombre de la comisión de peticiones.,male,None,0,4.8600,0,real_external_final,real,voxpopuli_es_test_legacy_archive,tfg_final_real_voxpopuli_es_legacy_v1_2026-09-15
C:\Users\gonza\TFG\Deepfake-Detection\external_final_voxpopuli\real\vox_ext_01\vox_ext_01_008.wav,vox_ext_01,1973,20090506-0900-PLENARY-15-es_20090506-21:57:30_4,"La cuestión es esta si en muchos países se conoce al Parlamento Europeo, es por el ejercicio del derecho de petición.",la cuestión es esta si en muchos países se conoce al parlamento europeo es por el ejercicio del derecho de petición.,male,None,0,7.5000,0,real_external_final,real,voxpopuli_es_test_legacy_archive,tfg_final_real_voxpopuli_es_legacy_v1_2026-09-15
C:\Users\gonza\TFG\Deepfake-Detection\external_final_voxpopuli\real\vox_ext_01\vox_ext_01_009.wav,vox_ext_01,1973,20090218-0900-PLENARY-14-es_20090218-19:16:13_4,"Eso es una Unión para el Mediterráneo que no es ex novo, sino que viene de la raíz profunda del Proceso de Barcelona",eso es una unión para el mediterráneo que no es ex novo sino que viene de la raíz profunda del proceso de barcelona;,male,None,0,7.6399,0,real_external_final,real,voxpopuli_es_test_legacy_archive,tfg_final_real_voxpopuli_es_legacy_v1_2026-09-15
C:\Users\gonza\TFG\Deepfake-Detection\external_final_voxpopuli\real\vox_ext_01\vox_ext_01_010.wav,vox_ext_01,1973,20090506-0900-PLENARY-15-es_20090506-21:57:30_3,"¿Qué comisión más cercana a la ciudadanía que la Comisión de Peticiones de este Parlamento, que es la recipiendaria de uno de los derechos más importante que tienen los ciudadanos europeos el derecho de petición?",qué comisión más cercana a la ciudadanía que la comisión de peticiones de este parlamento que es la recipiendaria de uno de los derechos más importante que tienen los ciudadanos europeos el derecho de petición?,male,None,0,11.5599,0,real_external_final,real,voxpopuli_es_test_legacy_archive,tfg_final_real_voxpopuli_es_legacy_v1_2026-09-15
