file,label,class,generator,speaker,reference_file,original_reference_file,reference_text,reference_text_used,target_text,language,clone_mode,seed,sample_rate,channels,duration_s,peak,rms,clipped_fraction,sha256
confucius_001.wav,1,fake,Confucius4-TTS,vox_ext_01,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk01_01__vox_ext_01_002.wav,vox_ext_01_002.wav,si lo conseguimos todos los que estamos aquí empezando por todos los convencionados que nos reunimos en esta noche habremos dado un paso de gigante por el que habrá merecido la pena estar en este parlamento.,False,La reunión comenzará a las nueve de la mañana en la sala principal.,es,transcript_free_zero_shot,2026091701,22050,1,3.750023,0.55944824,0.08093303,0.00000000,a2356050bbfdd0c5d5dc7c6b476247152da4a48b2968137913ff3189276532aa
confucius_002.wav,1,fake,Confucius4-TTS,vox_ext_01,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk01_02__vox_ext_01_004.wav,vox_ext_01_004.wav,he tratado de trabajar dignamente en nombre de los ciudadanos de mi país y del conjunto de los europeos y ha habido momentos verdaderamente especiales en ese esfuerzo como por ejemplo fue la convención.,False,El tren llegó a la estación unos minutos antes de lo previsto.,es,transcript_free_zero_shot,2026091702,22050,1,4.411791,0.64208984,0.07649060,0.00000000,26594fdfb7b3e74888577e76004ddfb4749cb41970aaa1a129f1189a48c853ce
confucius_003.wav,1,fake,Confucius4-TTS,vox_ext_02,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk02_01__vox_ext_02_005.wav,vox_ext_02_005.wav,las negociaciones deben producir un cambio real;,False,Durante la tarde esperamos cielos despejados y temperaturas suaves.,es,transcript_free_zero_shot,2026091703,22050,1,5.282540,0.43164062,0.05445886,0.00000000,731d4f6f70bc7986e96ec7f512e11b0c61bf310405ed99d74413822ff2501deb
confucius_004.wav,1,fake,Confucius4-TTS,vox_ext_02,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk02_02__vox_ext_02_006.wav,vox_ext_02_006.wav,el gobierno de ortega nos ha demostrado una y otra vez su verdadera cara e intenciones.,False,La biblioteca permanecerá abierta hasta las ocho de la noche.,es,transcript_free_zero_shot,2026091704,22050,1,4.063492,0.69573975,0.09572945,0.00000000,f56f95fad14252fcd887c92dde9dee5d11e54d7a0bdd1c1e2ca5b802978cfdd6
confucius_005.wav,1,fake,Confucius4-TTS,vox_ext_03,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk03_01__vox_ext_03_006.wav,vox_ext_03_006.wav,dicho acuerdo recoge en su protocolo diecinueve la fórmula jurídica inequívoca que deberán utilizar aquellos estados que deseen participar en las disposiciones del mismo.,False,Mañana revisaremos los resultados obtenidos durante la última prueba.,es,transcript_free_zero_shot,2026091705,22050,1,4.191202,0.94039917,0.14227448,0.00000000,e831cc715f4b8dfb406149ee18aa2a976fd8d2f8d1bab3b011d8b23c5742280d
confucius_006.wav,1,fake,Confucius4-TTS,vox_ext_03,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk03_02__vox_ext_03_007.wav,vox_ext_03_007.wav,este procedimiento aquí no se ha respetado algo obligatorio al ser eurosur un desarrollo del acervo de schengen.,False,El sistema procesa cada archivo de manera independiente y ordenada.,es,transcript_free_zero_shot,2026091706,22050,1,3.587483,0.95611572,0.13664430,0.00000000,87d6d88b1bf7ded0b5246e28015fffc0e031d8bdc5ac8269df28514e8e26d960
confucius_007.wav,1,fake,Confucius4-TTS,vox_ext_04,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk04_01__vox_ext_04_003.wav,vox_ext_04_003.wav,por eso hay que dar la bienvenida a que la presidencia estonia haya hecho bandera de los asuntos digitales en este período.,False,La carretera atraviesa varios pueblos antes de llegar a la ciudad.,es,transcript_free_zero_shot,2026091707,22050,1,3.842902,0.81488037,0.12778419,0.00000000,7dc9634e461509a154032a13784d3e7652b157d7c76815a570477b632aed6010
confucius_008.wav,1,fake,Confucius4-TTS,vox_ext_04,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk04_02__vox_ext_04_004.wav,vox_ext_04_004.wav,la lista de objetivos políticos que habría que calificar de falta de evidencia científica según parece entenderse en este caso sería inmensa.,False,Necesitamos comprobar que todos los datos se hayan guardado correctamente.,es,transcript_free_zero_shot,2026091708,22050,1,3.842902,0.71444702,0.09560769,0.00000000,cac76ff13635eaab0b90220d52a1e77dba308580c129c956b184fb64f88ffcd9
confucius_009.wav,1,fake,Confucius4-TTS,vox_ext_05,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk05_01__vox_ext_05_003.wav,vox_ext_05_003.wav,aquí se trata del modelo de sociedad que queremos tener y que legaremos a nuestras hijas e hijos;,False,El equipo terminó el proyecto después de varias semanas de trabajo.,es,transcript_free_zero_shot,2026091709,22050,1,3.691973,0.86718750,0.12208638,0.00000000,4373da4b7f27bddf6e42df07181a3eeff02aab31655f9ab0bbeb0349f42faf47
confucius_010.wav,1,fake,Confucius4-TTS,vox_ext_05,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk05_02__vox_ext_05_002.wav,vox_ext_05_002.wav,tenéis el apoyo y la solidaridad del pueblo vasco y pronto recorreremos el mismo.,False,La aplicación permite consultar la información desde cualquier dispositivo.,es,transcript_free_zero_shot,2026091710,22050,1,4.051882,0.84603882,0.12588218,0.00000000,c8a6e97567b9ef12d2a84940ed99452b914555f63072fb5439c308e513fde0e5
confucius_011.wav,1,fake,Confucius4-TTS,vox_ext_06,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk06_01__vox_ext_06_008.wav,vox_ext_06_008.wav,hemos votado por un futuro en el que el reino unido participe en los asuntos de todos los continentes incluida europa;,False,Esta mañana encontré las llaves encima de la mesa del salón.,es,transcript_free_zero_shot,2026091711,22050,1,4.109932,1.00000000,0.14112267,0.00002207,bf8ca8b889354aa5c7684472d1e64995ba241a403ccb781ecd18213dd1e9eacb
confucius_012.wav,1,fake,Confucius4-TTS,vox_ext_06,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk06_02__vox_ext_06_003.wav,vox_ext_06_003.wav,los españoles van a ver cómo sus ahorros pierden valor y cómo el importe de sus deudas se disparan.,False,Los participantes recibieron las instrucciones antes de comenzar la actividad.,es,transcript_free_zero_shot,2026091712,22050,1,4.388571,0.45312500,0.05835835,0.00000000,1d91951f29ca8b5b1e52e310b3fce7447be00bced4e53cc6ddf0833453b00a92
confucius_013.wav,1,fake,Confucius4-TTS,vox_ext_07,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk07_01__vox_ext_07_005.wav,vox_ext_07_005.wav,los movimientos populares están en todas partes en túnez en egipto en las plazas en españa durante el movimiento de los indignados y también en asia.,False,El informe incluye una explicación detallada de todos los resultados.,es,transcript_free_zero_shot,2026091713,22050,1,4.144762,1.00000000,0.32121047,0.00088629,8f88f4338693810888a829b672967ea1a91e75a75b1bd0d0779e8db5e1c4d9ca
confucius_014.wav,1,fake,Confucius4-TTS,vox_ext_07,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk07_02__vox_ext_07_004.wav,vox_ext_07_004.wav,acaso no interviene la unión europea cuando sus miembros venden armas a israel?,False,La próxima semana tendremos una nueva sesión para revisar el progreso.,es,transcript_free_zero_shot,2026091714,22050,1,4.806531,0.44787598,0.05263188,0.00000000,61a178cfc8e194685aee3d4c393ebf9926660b56f8f270865b37a4193d7a2fc0
confucius_015.wav,1,fake,Confucius4-TTS,vox_ext_08,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk08_01__vox_ext_08_008.wav,vox_ext_08_008.wav,gracias al parlamento europeo por no abandonar al pueblo cubano en este bregar de más de medio siglo hacia la democracia.,False,El archivo contiene únicamente la información necesaria para realizar la prueba.,es,transcript_free_zero_shot,2026091715,22050,1,4.272472,0.70980835,0.06542199,0.00000000,0453128f0aa59aca60d4ebc86349408ca18b66428b545355e1155db5a3cdd5d5
confucius_016.wav,1,fake,Confucius4-TTS,vox_ext_08,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk08_02__vox_ext_08_004.wav,vox_ext_08_004.wav,ellos y sus familiares soportan un destierro psicológico pues sus seres más queridos resultaron extorsionados por el gobierno neoestalinista cubano.,False,La universidad publicó ayer el calendario definitivo del próximo curso.,es,transcript_free_zero_shot,2026091716,22050,1,4.330522,0.66027832,0.06382512,0.00000000,96d2510f12c870a6ed8c3aa49d437d4e2e837448329d0b66603de6cb5adcaa30
confucius_017.wav,1,fake,Confucius4-TTS,vox_ext_09,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk09_01__vox_ext_09_001.wav,vox_ext_09_001.wav,con esta propuesta vamos a disponer de más medios más eficaces para luchar contra el fraude y la evasión fiscal en europa.,False,Después de analizar los datos podremos comparar los diferentes métodos.,es,transcript_free_zero_shot,2026091717,22050,1,3.343673,0.48358154,0.06659560,0.00000000,793087a429521604072cca8e45de7fc6eb310756cedb73ef7bc0b0c27cc8b27c
confucius_018.wav,1,fake,Confucius4-TTS,vox_ext_09,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk09_02__vox_ext_09_003.wav,vox_ext_09_003.wav,los estados miembros son parte de un proyecto político y las relaciones entre sus sistemas fiscales deben ser acordes con este proyecto político.,False,La grabación se realizó en una habitación tranquila y sin ruido de fondo.,es,transcript_free_zero_shot,2026091718,22050,1,4.005442,0.25280762,0.03139799,0.00000000,878e43acf53f9b9a0c22122768227dac6bf8cb4d801fcfe948d4eab24ff3f0fd
confucius_019.wav,1,fake,Confucius4-TTS,vox_ext_10,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk10_01__vox_ext_10_006.wav,vox_ext_10_006.wav,para las autoridades nigerianas unas guías para que la persecución de unos crímenes no las lleve a cometer otros y a entrar así en una espiral de difícil salida.,False,Cada muestra debe conservarse sin modificaciones después de la evaluación.,es,transcript_free_zero_shot,2026091719,22050,1,4.411791,0.37036133,0.04651977,0.00000000,cf9b1608c1383ebe896703bb28ac0ea19d4d4029ce3a8c4adc5aa0caa8614775
confucius_020.wav,1,fake,Confucius4-TTS,vox_ext_10,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk10_02__vox_ext_10_001.wav,vox_ext_10_001.wav,por eso insisto espero contar con su apoyo para aprobar la enmienda que pide una investigación internacional de estas cuestiones bajo el auspicio de las naciones unidas.,False,Los resultados finales se utilizarán para estudiar la capacidad de generalización.,es,transcript_free_zero_shot,2026091720,22050,1,4.365351,0.37539673,0.04873329,0.00000000,6f089bcf1d8eeac1c770fb75fa6613ac5dd3a4a7dc4ec146f8ee203db0e171f9
