file,label,class,generator,model,speaker,reference_file,original_reference_file,reference_text,target_text,language,clone_mode,seed,stream,speed,fp16,sample_rate,channels,duration_s,peak,rms,clipped_fraction,sha256
cosyvoice_001.wav,1,fake,Fun-CosyVoice3,Fun-CosyVoice3-0.5B,vox_ext_01,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk01_01__vox_ext_01_002.wav,vox_ext_01_002.wav,si lo conseguimos todos los que estamos aquí empezando por todos los convencionados que nos reunimos en esta noche habremos dado un paso de gigante por el que habrá merecido la pena estar en este parlamento.,La reunión comenzará a las nueve de la mañana en la sala principal.,Spanish,zero_shot,2026091601,False,1.0,True,24000,1,3.880000,0.51470947,0.08921324,0.00000000,c16c0ad2bbb232f4f46396d5bec83ff697502c3dc2e4056f7d898c25f3a26fa5
cosyvoice_002.wav,1,fake,Fun-CosyVoice3,Fun-CosyVoice3-0.5B,vox_ext_01,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk01_02__vox_ext_01_004.wav,vox_ext_01_004.wav,he tratado de trabajar dignamente en nombre de los ciudadanos de mi país y del conjunto de los europeos y ha habido momentos verdaderamente especiales en ese esfuerzo como por ejemplo fue la convención.,El tren llegó a la estación unos minutos antes de lo previsto.,Spanish,zero_shot,2026091602,False,1.0,True,24000,1,4.320000,0.56161499,0.06707820,0.00000000,469337ffff8f5e481be8205ed5d1d1902b8097b6f64b3f4739f8fc18578d8780
cosyvoice_003.wav,1,fake,Fun-CosyVoice3,Fun-CosyVoice3-0.5B,vox_ext_02,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk02_01__vox_ext_02_005.wav,vox_ext_02_005.wav,las negociaciones deben producir un cambio real;,Durante la tarde esperamos cielos despejados y temperaturas suaves.,Spanish,zero_shot,2026091603,False,1.0,True,24000,1,5.200000,0.33050537,0.04700727,0.00000000,81aebf14fef5496688746a25e1f1e28587a99845f964432fb806809e47653edb
cosyvoice_004.wav,1,fake,Fun-CosyVoice3,Fun-CosyVoice3-0.5B,vox_ext_02,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk02_02__vox_ext_02_006.wav,vox_ext_02_006.wav,el gobierno de ortega nos ha demostrado una y otra vez su verdadera cara e intenciones.,La biblioteca permanecerá abierta hasta las ocho de la noche.,Spanish,zero_shot,2026091604,False,1.0,True,24000,1,4.440000,0.68469238,0.09357923,0.00000000,b423295a140af7d2e53c19390c96b4a023069cea5752932ae7685ad752e4ced5
cosyvoice_005.wav,1,fake,Fun-CosyVoice3,Fun-CosyVoice3-0.5B,vox_ext_03,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk03_01__vox_ext_03_006.wav,vox_ext_03_006.wav,dicho acuerdo recoge en su protocolo diecinueve la fórmula jurídica inequívoca que deberán utilizar aquellos estados que deseen participar en las disposiciones del mismo.,Mañana revisaremos los resultados obtenidos durante la última prueba.,Spanish,zero_shot,2026091605,False,1.0,True,24000,1,5.200000,0.87683105,0.12651709,0.00000000,197920d6795639696c01a222811309e5ca545384de9d59c7863359f05959b7f4
cosyvoice_006.wav,1,fake,Fun-CosyVoice3,Fun-CosyVoice3-0.5B,vox_ext_03,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk03_02__vox_ext_03_007.wav,vox_ext_03_007.wav,este procedimiento aquí no se ha respetado algo obligatorio al ser eurosur un desarrollo del acervo de schengen.,El sistema procesa cada archivo de manera independiente y ordenada.,Spanish,zero_shot,2026091606,False,1.0,True,24000,1,5.120000,0.98999023,0.14297795,0.00000000,ff03376137607cceb78782778a5a67927f027a6e099adf9690304bb9a91f784f
cosyvoice_007.wav,1,fake,Fun-CosyVoice3,Fun-CosyVoice3-0.5B,vox_ext_04,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk04_01__vox_ext_04_003.wav,vox_ext_04_003.wav,por eso hay que dar la bienvenida a que la presidencia estonia haya hecho bandera de los asuntos digitales en este período.,La carretera atraviesa varios pueblos antes de llegar a la ciudad.,Spanish,zero_shot,2026091607,False,1.0,True,24000,1,4.400000,0.83654785,0.10844205,0.00000000,fccf01dbe764fc20f613a55bf7298f9ac1ba263d2b8c0b264f7161b5bae3d026
cosyvoice_008.wav,1,fake,Fun-CosyVoice3,Fun-CosyVoice3-0.5B,vox_ext_04,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk04_02__vox_ext_04_004.wav,vox_ext_04_004.wav,la lista de objetivos políticos que habría que calificar de falta de evidencia científica según parece entenderse en este caso sería inmensa.,Necesitamos comprobar que todos los datos se hayan guardado correctamente.,Spanish,zero_shot,2026091608,False,1.0,True,24000,1,5.400000,0.64239502,0.09974659,0.00000000,d6626cd162a9b8398774c9e1ee72ae22c03d5c52263747856d2e1510f7999005
cosyvoice_009.wav,1,fake,Fun-CosyVoice3,Fun-CosyVoice3-0.5B,vox_ext_05,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk05_01__vox_ext_05_003.wav,vox_ext_05_003.wav,aquí se trata del modelo de sociedad que queremos tener y que legaremos a nuestras hijas e hijos;,El equipo terminó el proyecto después de varias semanas de trabajo.,Spanish,zero_shot,2026091609,False,1.0,True,24000,1,4.440000,0.75729370,0.09689894,0.00000000,b39553b780f7d2bf5fb41f3bf7609664fe0fbe95b19d9b73b77b1da556218672
cosyvoice_010.wav,1,fake,Fun-CosyVoice3,Fun-CosyVoice3-0.5B,vox_ext_05,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk05_02__vox_ext_05_002.wav,vox_ext_05_002.wav,tenéis el apoyo y la solidaridad del pueblo vasco y pronto recorreremos el mismo.,La aplicación permite consultar la información desde cualquier dispositivo.,Spanish,zero_shot,2026091610,False,1.0,True,24000,1,4.800000,0.82531738,0.10545956,0.00000000,4acee0717d964361f908654d742a311db6a8e4db53536cd502f9ba9f485adac2
