path,label,category,generator,reference_id,reference_file,text_id,text,seed,status
data/tts/cosyvoice/001_ref1.wav,1,tts,cosyvoice,Gonzalo_referencia,Gonzalo_referencia.wav,txt_001,"Esta mañana, el equipo revisó los resultados antes de tomar una decisión definitiva.",20260909,ok
data/tts/cosyvoice/002_ref1.wav,1,tts,cosyvoice,Gonzalo_referencia,Gonzalo_referencia.wav,txt_002,"Esta mañana, la biblioteca permaneció abierta hasta que terminó la última actividad.",20260910,ok
data/tts/cosyvoice/003_ref1.wav,1,tts,cosyvoice,Gonzalo_referencia,Gonzalo_referencia.wav,txt_003,"Esta mañana, una persona preguntó por la dirección correcta y recibió una explicación clara.",20260911,ok
data/tts/cosyvoice/004_ref1.wav,1,tts,cosyvoice,Gonzalo_referencia,Gonzalo_referencia.wav,txt_004,"Esta mañana, el ordenador guardó todos los documentos sin mostrar ningún mensaje de error.",20260912,ok
data/tts/cosyvoice/005_ref1.wav,1,tts,cosyvoice,Gonzalo_referencia,Gonzalo_referencia.wav,txt_005,"Esta mañana, varios estudiantes comentaron las noticias y compararon diferentes puntos de vista.",20260913,ok
data/tts/cosyvoice/006_ref1.wav,1,tts,cosyvoice,Gonzalo_referencia,Gonzalo_referencia.wav,txt_006,"Esta mañana, la cafetería preparó café, té y algunas tostadas para quienes acababan de llegar.",20260914,ok
data/tts/cosyvoice/007_ref1.wav,1,tts,cosyvoice,Gonzalo_referencia,Gonzalo_referencia.wav,txt_007,"Esta mañana, el informe explicó los cambios principales con ejemplos sencillos y datos concretos.",20260915,ok
data/tts/cosyvoice/008_ref1.wav,1,tts,cosyvoice,Gonzalo_referencia,Gonzalo_referencia.wav,txt_008,"Esta mañana, una llamada inesperada cambió los planes previstos para el resto de la jornada.",20260916,ok
data/tts/cosyvoice/009_ref1.wav,1,tts,cosyvoice,Gonzalo_referencia,Gonzalo_referencia.wav,txt_009,"Esta mañana, el tren salió con puntualidad y llegó al destino pocos minutos antes de lo esperado.",20260917,ok
data/tts/cosyvoice/010_ref1.wav,1,tts,cosyvoice,Gonzalo_referencia,Gonzalo_referencia.wav,txt_010,"Esta mañana, la conversación terminó con una pregunta breve sobre los próximos pasos del proyecto.",20260918,ok
data/tts/cosyvoice/011_ref1.wav,1,tts,cosyvoice,Gonzalo_referencia,Gonzalo_referencia.wav,txt_011,"Ayer por la tarde, el equipo revisó los resultados antes de tomar una decisión definitiva.",20260919,ok
data/tts/cosyvoice/012_ref1.wav,1,tts,cosyvoice,Gonzalo_referencia,Gonzalo_referencia.wav,txt_012,"Ayer por la tarde, la biblioteca permaneció abierta hasta que terminó la última actividad.",20260920,ok
data/tts/cosyvoice/013_ref1.wav,1,tts,cosyvoice,Gonzalo_referencia,Gonzalo_referencia.wav,txt_013,"Ayer por la tarde, una persona preguntó por la dirección correcta y recibió una explicación clara.",20260921,ok
data/tts/cosyvoice/014_ref1.wav,1,tts,cosyvoice,Gonzalo_referencia,Gonzalo_referencia.wav,txt_014,"Ayer por la tarde, el ordenador guardó todos los documentos sin mostrar ningún mensaje de error.",20260922,ok
data/tts/cosyvoice/015_ref1.wav,1,tts,cosyvoice,Gonzalo_referencia,Gonzalo_referencia.wav,txt_015,"Ayer por la tarde, varios estudiantes comentaron las noticias y compararon diferentes puntos de vista.",20260923,ok
data/tts/cosyvoice/016_ref1.wav,1,tts,cosyvoice,Gonzalo_referencia,Gonzalo_referencia.wav,txt_016,"Ayer por la tarde, la cafetería preparó café, té y algunas tostadas para quienes acababan de llegar.",20260924,ok
data/tts/cosyvoice/017_ref1.wav,1,tts,cosyvoice,Gonzalo_referencia,Gonzalo_referencia.wav,txt_017,"Ayer por la tarde, el informe explicó los cambios principales con ejemplos sencillos y datos concretos.",20260925,ok
data/tts/cosyvoice/018_ref1.wav,1,tts,cosyvoice,Gonzalo_referencia,Gonzalo_referencia.wav,txt_018,"Ayer por la tarde, una llamada inesperada cambió los planes previstos para el resto de la jornada.",20260926,ok
data/tts/cosyvoice/019_ref1.wav,1,tts,cosyvoice,Gonzalo_referencia,Gonzalo_referencia.wav,txt_019,"Ayer por la tarde, el tren salió con puntualidad y llegó al destino pocos minutos antes de lo esperado.",20260927,ok
data/tts/cosyvoice/020_ref1.wav,1,tts,cosyvoice,Gonzalo_referencia,Gonzalo_referencia.wav,txt_020,"Ayer por la tarde, la conversación terminó con una pregunta breve sobre los próximos pasos del proyecto.",20260928,ok
data/tts/cosyvoice/021_ref1.wav,1,tts,cosyvoice,Gonzalo_referencia,Gonzalo_referencia.wav,txt_021,"Al terminar la clase, el equipo revisó los resultados antes de tomar una decisión definitiva.",20260929,ok
data/tts/cosyvoice/022_ref1.wav,1,tts,cosyvoice,Gonzalo_referencia,Gonzalo_referencia.wav,txt_022,"Al terminar la clase, la biblioteca permaneció abierta hasta que terminó la última actividad.",20260930,ok
data/tts/cosyvoice/023_ref1.wav,1,tts,cosyvoice,Gonzalo_referencia,Gonzalo_referencia.wav,txt_023,"Al terminar la clase, una persona preguntó por la dirección correcta y recibió una explicación clara.",20260931,ok
